Sample	adapter_content	Sequences flagged as poor quality	sequence_duplication_levels	avg_sequence_length	Encoding	kmer_content	per_base_sequence_quality	sequence_length_distribution	Sequence length	File type	basic_statistics	per_sequence_gc_content	Total Sequences	per_base_n_content	per_base_sequence_content	overrepresented_sequences	%GC	total_deduplicated_percentage	Filename	per_tile_sequence_quality	per_sequence_quality_scores
ERR023620	fail	0.0	fail	160.0	Sanger / Illumina 1.9	fail	fail	pass	160.0	Conventional base calls	pass	fail	2277732.0	pass	fail	fail	50.0	24.373135374	ERR023620.fastq	warn	pass
ERR023621	fail	0.0	fail	160.0	Sanger / Illumina 1.9	fail	fail	pass	160.0	Conventional base calls	pass	fail	876897.0	pass	fail	fail	50.0	37.0881960722	ERR023621.fastq	warn	pass
ERR023622	warn	0.0	warn	160.0	Sanger / Illumina 1.9	fail	fail	pass	160.0	Conventional base calls	pass	fail	3120959.0	pass	fail	fail	52.0	55.6249142249	ERR023622.fastq	warn	pass
ERR023624	warn	0.0	fail	160.0	Sanger / Illumina 1.9	fail	fail	pass	160.0	Conventional base calls	pass	fail	3202817.0	pass	fail	fail	50.0	41.0060508852	ERR023624.fastq	warn	pass
ERR023625	warn	0.0	fail	160.0	Sanger / Illumina 1.9	fail	fail	pass	160.0	Conventional base calls	pass	fail	2589386.0	pass	fail	fail	50.0	48.9690890709	ERR023625.fastq	warn	pass
ERR023626	warn	0.0	warn	160.0	Sanger / Illumina 1.9	fail	fail	pass	160.0	Conventional base calls	pass	fail	1040892.0	pass	fail	fail	51.0	53.1292978399	ERR023626.fastq	warn	pass
ERR023631	warn	0.0	warn	160.0	Sanger / Illumina 1.9	fail	fail	pass	160.0	Conventional base calls	pass	fail	1369049.0	pass	fail	fail	52.0	52.3602979729	ERR023631.fastq	warn	pass
ERR023633	fail	0.0	fail	160.0	Sanger / Illumina 1.9	fail	fail	pass	160.0	Conventional base calls	pass	fail	1627884.0	pass	fail	fail	54.0	39.1691603034	ERR023633.fastq	pass	pass
ERR023634	warn	0.0	warn	160.0	Sanger / Illumina 1.9	fail	warn	pass	160.0	Conventional base calls	pass	warn	2615882.0	pass	fail	fail	53.0	65.4001524659	ERR023634.fastq	pass	pass
ERR023635	pass	0.0	warn	160.0	Sanger / Illumina 1.9	fail	warn	pass	160.0	Conventional base calls	pass	fail	3370625.0	pass	fail	fail	54.0	63.6293007891	ERR023635.fastq	pass	pass
ERR023636	warn	0.0	warn	160.0	Sanger / Illumina 1.9	fail	fail	pass	160.0	Conventional base calls	pass	fail	1422242.0	pass	fail	fail	54.0	58.0993791634	ERR023636.fastq	pass	pass
ERR023637	warn	0.0	fail	160.0	Sanger / Illumina 1.9	fail	fail	pass	160.0	Conventional base calls	pass	fail	4297723.0	pass	fail	fail	54.0	47.9137787642	ERR023637.fastq	pass	pass
ERR023638	warn	0.0	warn	160.0	Sanger / Illumina 1.9	fail	fail	pass	160.0	Conventional base calls	pass	fail	2902147.0	pass	fail	fail	53.0	52.0342640518	ERR023638.fastq	pass	pass
ERR023639	warn	0.0	warn	160.0	Sanger / Illumina 1.9	fail	fail	pass	160.0	Conventional base calls	pass	fail	3330514.0	pass	fail	fail	54.0	55.2848291469	ERR023639.fastq	pass	pass
ERR023641	pass	0.0	warn	160.0	Sanger / Illumina 1.9	fail	warn	pass	160.0	Conventional base calls	pass	fail	1375136.0	pass	fail	fail	52.0	60.890684318	ERR023641.fastq	pass	pass
ERR023642	warn	0.0	warn	160.0	Sanger / Illumina 1.9	fail	fail	pass	160.0	Conventional base calls	pass	fail	1753381.0	pass	fail	fail	54.0	54.4488525734	ERR023642.fastq	pass	pass
ERR023643	warn	0.0	warn	160.0	Sanger / Illumina 1.9	fail	fail	pass	160.0	Conventional base calls	pass	fail	2399682.0	pass	fail	fail	53.0	51.0691761019	ERR023643.fastq	pass	pass
ERR023650	warn	0.0	fail	160.0	Sanger / Illumina 1.9	fail	fail	pass	160.0	Conventional base calls	pass	fail	3199740.0	pass	fail	fail	50.0	37.3015862344	ERR023650.fastq	warn	pass
ERR023653	pass	0.0	warn	160.0	Sanger / Illumina 1.9	fail	fail	pass	160.0	Conventional base calls	pass	fail	1602027.0	pass	fail	fail	51.0	62.9149346763	ERR023653.fastq	warn	pass
ERR023654	pass	0.0	pass	160.0	Sanger / Illumina 1.9	fail	warn	pass	160.0	Conventional base calls	pass	warn	339014.0	pass	warn	fail	52.0	89.9015170726	ERR023654.fastq	warn	pass
ERR023655	warn	0.0	fail	160.0	Sanger / Illumina 1.9	fail	fail	pass	160.0	Conventional base calls	pass	fail	2346456.0	pass	fail	fail	51.0	44.9719965716	ERR023655.fastq	warn	pass
ERR023656	warn	0.0	fail	160.0	Sanger / Illumina 1.9	fail	fail	pass	160.0	Conventional base calls	pass	fail	2354661.0	pass	fail	fail	50.0	44.3830757024	ERR023656.fastq	warn	pass
ERR023657	warn	0.0	fail	160.0	Sanger / Illumina 1.9	fail	fail	pass	160.0	Conventional base calls	pass	fail	2262656.0	pass	fail	fail	52.0	47.8498024777	ERR023657.fastq	warn	pass
