Sample	FastQC_percent_duplicates	FastQC_percent_gc	FastQC_avg_sequence_length	FastQC_total_sequences	FastQC_percent_fails
ERR023620	75.626864626	50.0	160.0	2277732.0	58.3333333333
ERR023621	62.9118039278	50.0	160.0	876897.0	58.3333333333
ERR023622	44.3750857751	52.0	160.0	3120959.0	41.6666666667
ERR023624	58.9939491148	50.0	160.0	3202817.0	50.0
ERR023625	51.0309109291	50.0	160.0	2589386.0	50.0
ERR023626	46.8707021601	51.0	160.0	1040892.0	41.6666666667
ERR023631	47.6397020271	52.0	160.0	1369049.0	41.6666666667
ERR023633	60.8308396966	54.0	160.0	1627884.0	58.3333333333
ERR023634	34.5998475341	53.0	160.0	2615882.0	25.0
ERR023635	36.3706992109	54.0	160.0	3370625.0	33.3333333333
ERR023636	41.9006208366	54.0	160.0	1422242.0	41.6666666667
ERR023637	52.0862212358	54.0	160.0	4297723.0	50.0
ERR023638	47.9657359482	53.0	160.0	2902147.0	41.6666666667
ERR023639	44.7151708531	54.0	160.0	3330514.0	41.6666666667
ERR023641	39.109315682	52.0	160.0	1375136.0	33.3333333333
ERR023642	45.5511474266	54.0	160.0	1753381.0	41.6666666667
ERR023643	48.9308238981	53.0	160.0	2399682.0	41.6666666667
ERR023650	62.6984137656	50.0	160.0	3199740.0	50.0
ERR023653	37.0850653237	51.0	160.0	1602027.0	41.6666666667
ERR023654	10.0984829274	52.0	160.0	339014.0	16.6666666667
ERR023655	55.0280034284	51.0	160.0	2346456.0	50.0
ERR023656	55.6169242976	50.0	160.0	2354661.0	50.0
ERR023657	52.1501975223	52.0	160.0	2262656.0	50.0
ERR023766	37.0662511501	52.0	160.0	2332336.0	33.3333333333
ERR023767	23.6641805548	52.0	160.0	2495607.0	25.0
ERR023768	36.8618664262	55.0	160.0	2648607.0	33.3333333333
ERR023769	33.5971437696	53.0	160.0	3359017.0	25.0
ERR023770	38.7057853958	53.0	160.0	3925740.0	25.0
ERR023771	43.2770649914	53.0	160.0	7729770.0	33.3333333333
ERR023773	33.2987375116	53.0	160.0	3244087.0	33.3333333333
ERR023774	35.6084323187	52.0	160.0	2990125.0	33.3333333333
ERR023775	56.9241557188	55.0	160.0	2494295.0	50.0
ERR023776	31.0514337235	52.0	160.0	3782744.0	33.3333333333
ERR023777	33.3457815355	54.0	160.0	3496678.0	33.3333333333
ERR023779	25.8943881625	52.0	160.0	1752741.0	41.6666666667
ERR023780	26.2300277192	52.0	160.0	1445711.0	33.3333333333
ERR023781	47.6467575715	55.0	160.0	2895803.0	50.0
ERR023782	31.6224426778	52.0	160.0	3295475.0	33.3333333333
ERR023783	34.8294448367	52.0	160.0	4647772.0	33.3333333333
ERR023784	43.3919579024	52.0	160.0	7252486.0	41.6666666667
ERR023785	30.5223579113	53.0	160.0	2921739.0	41.6666666667
ERR023786	34.3209937168	53.0	160.0	2496462.0	41.6666666667
ERR023788	18.746107892	52.0	160.0	1503900.0	41.6666666667
ERR023789	36.3539905384	52.0	160.0	2900767.0	41.6666666667
ERR023790	25.0477309816	53.0	160.0	1705953.0	41.6666666667
ERR023792	29.771588503	52.0	160.0	2469341.0	33.3333333333
ERR023793	20.2535165224	51.0	160.0	2051879.0	25.0
ERR023794	34.2039320241	53.0	160.0	6375522.0	33.3333333333
ERR023795	33.3771640489	53.0	160.0	4198565.0	25.0
ERR023796	34.7845035072	52.0	160.0	5486844.0	25.0
ERR023797	29.3098548203	52.0	160.0	3281289.0	25.0
ERR023798	25.0927042676	53.0	160.0	1471295.0	33.3333333333
ERR023799	21.3189635824	53.0	160.0	1457376.0	33.3333333333
ERR023800	23.1316209331	52.0	160.0	2092133.0	33.3333333333
ERR023801	27.6821946396	53.0	160.0	1339284.0	33.3333333333
ERR023802	36.2817366519	53.0	160.0	3380747.0	33.3333333333
ERR023803	36.3904424311	53.0	160.0	5323541.0	33.3333333333
ERR023805	42.3986080331	52.0	160.0	2358112.0	33.3333333333
ERR023809	27.9093326542	52.0	160.0	2425815.0	25.0
ERR023810	28.6888725171	52.0	160.0	2581368.0	25.0
ERR023811	28.3146828687	53.0	160.0	1539176.0	25.0
ERR023812	32.6084715091	53.0	160.0	2209250.0	33.3333333333
ERR024398	19.1515029228	53.0	160.0	3404664.0	25.0
ERR024414	5.42456817396	50.0	160.0	636922.0	16.6666666667
ERR024415	13.2036143094	52.0	160.0	2442831.0	8.33333333333
ERR024420	11.899866609	51.0	160.0	2049282.0	16.6666666667
ERR024422	6.53761638973	51.0	160.0	986433.0	16.6666666667
ERR024423	10.4754259907	50.0	160.0	1146498.0	8.33333333333
ERR024424	17.9525330246	51.0	160.0	2765861.0	16.6666666667
ERR024765	9.01614402293	52.0	160.0	1444596.0	25.0
ERR024766	17.6409522675	50.0	160.0	2155020.0	33.3333333333
ERR024767	21.4826299489	51.0	160.0	915543.0	25.0
ERR024769	21.3987839639	51.0	160.0	4075113.0	25.0
ERR024770	18.2623694707	51.0	160.0	2484487.0	25.0
ERR024772	6.90026078807	51.0	160.0	997555.0	25.0
ERR024773	8.54864358138	50.0	160.0	593541.0	33.3333333333
ERR024774	9.48183394041	51.0	160.0	1445586.0	25.0
ERR024775	11.4978346011	51.0	160.0	1816202.0	16.6666666667
ERR024778	23.1972348329	51.0	160.0	4003256.0	16.6666666667
ERR024779	20.143902012	50.0	160.0	2864581.0	16.6666666667
ERR024780	20.3428411946	51.0	160.0	3657961.0	16.6666666667
ERR024782	29.1919686554	51.0	160.0	4641013.0	16.6666666667
ERR024783	8.78479021459	51.0	160.0	737768.0	8.33333333333
ERR024784	21.9125692291	50.0	160.0	2128908.0	16.6666666667
ERR024785	13.8620362081	50.0	160.0	741282.0	25.0
ERR024786	21.0298468631	50.0	160.0	1018666.0	25.0
ERR024788	23.3913863869	50.0	160.0	4485142.0	8.33333333333
ERR024789	9.53718226762	50.0	160.0	1031912.0	25.0
ERR024791	12.805468194	50.0	160.0	1655128.0	16.6666666667
ERR024795	14.1753080622	51.0	160.0	2458299.0	16.6666666667
ERR024796	28.6368610437	50.0	160.0	4560755.0	8.33333333333
ERR024797	16.7252382152	50.0	160.0	3320930.0	16.6666666667
ERR024798	25.1785680683	50.0	160.0	4535015.0	16.6666666667
ERR024800	8.08807464946	50.0	160.0	1328209.0	16.6666666667
ERR024801	26.3933189569	50.0	160.0	5830762.0	8.33333333333
ERR025164	43.8715476807	50.0	160.0	1639549.0	50.0
ERR034065	5.26498893319	52.0	115.0	989393.0	16.6666666667
ERR034066	9.32299704916	51.0	115.0	1148039.0	16.6666666667
ERR034068	5.43730541881	51.0	115.0	847098.0	16.6666666667
ERR034069	6.32073570756	52.0	115.0	1144144.0	16.6666666667
ERR034070	12.3135796395	52.0	115.0	2450936.0	16.6666666667
ERR034071	12.7888047693	51.0	115.0	1524027.0	16.6666666667
ERR034072	9.08742951573	52.0	115.0	1381307.0	16.6666666667
ERR034074	10.2144667968	52.0	115.0	2045991.0	16.6666666667
ERR034075	6.15615185369	51.0	115.0	1088315.0	16.6666666667
ERR034079	11.7289014825	50.0	115.0	2572619.0	25.0
ERR034080	7.4216402351	53.0	115.0	1177977.0	25.0
ERR034081	11.294594672	51.0	115.0	1756180.0	25.0
ERR034085	11.608073597	52.0	115.0	2239825.0	25.0
ERR034086	9.61335985704	52.0	115.0	1362410.0	25.0
ERR034088	9.46772889016	51.0	115.0	1728241.0	25.0
ERR034160	24.2127775243	53.0	108.0	12414035.0	16.6666666667
ERR034161	37.4440328347	52.0	108.0	14414153.0	16.6666666667
ERR034162	36.2327796011	54.0	108.0	11516058.0	16.6666666667
ERR034163	43.6283023729	51.0	108.0	17886745.0	16.6666666667
ERR034164	44.4510862036	53.0	108.0	17937811.0	25.0
ERR034165	46.8550992497	55.0	108.0	15826381.0	25.0
ERR034168	34.3914898703	52.0	108.0	8230806.0	8.33333333333
ERR037585	3.16829336436	52.0	115.0	470578.0	25.0
ERR037587	14.1780393002	53.0	115.0	2742971.0	25.0
ERR037588	7.9968589503	51.0	115.0	1233186.0	25.0
ERR037589	6.8516157163	52.0	115.0	666963.0	25.0
ERR037590	7.63958338219	52.0	115.0	1584110.0	25.0
ERR037592	8.73776916122	52.0	115.0	1768373.0	25.0
ERR037593	3.61976518507	52.0	115.0	595407.0	25.0
ERR037594	4.59838513346	52.0	115.0	632476.0	25.0
ERR037595	7.10895291428	51.0	115.0	1156028.0	25.0
ERR038033	5.84623031048	52.0	115.0	1089576.0	25.0
ERR038034	5.69620773766	51.0	115.0	1070224.0	25.0
ERR038035	8.72298995869	52.0	115.0	1680821.0	25.0
ERR038036	7.69835871001	52.0	115.0	1096109.0	33.3333333333
ERR038037	8.14774761271	52.0	115.0	1574733.0	25.0
ERR038038	6.81485995687	51.0	115.0	888995.0	25.0
ERR038039	7.11183843869	51.0	115.0	858898.0	33.3333333333
ERR038041	5.25875220683	51.0	115.0	769919.0	25.0
ERR038042	6.86329235308	53.0	115.0	968378.0	25.0
ERR038043	7.0825130607	51.0	115.0	972949.0	25.0
ERR044728	13.8229718292	51.0	150.0	5685723.0	9.09090909091
ERR044729	15.7092028442	52.0	150.0	6392840.0	9.09090909091
ERR064836	9.35757778307	51.0	150.0	5493600.0	9.09090909091
ERR064837	10.9640104393	51.0	150.0	6545579.0	9.09090909091
ERR064838	9.60581016768	51.0	150.0	5669760.0	9.09090909091
ERR064839	10.275083254	51.0	150.0	5996653.0	9.09090909091
ERR064840	10.8386430919	51.0	150.0	6214809.0	9.09090909091
ERR212511	3.7085746733	51.0	200.0	1218918.0	0.0
ERR212512	4.59407904348	51.0	200.0	1435335.0	9.09090909091
ERR212513	6.14247982868	51.0	200.0	1964392.0	0.0
ERR212514	5.16816796185	51.0	200.0	1588971.0	9.09090909091
ERR212515	5.87196560635	51.0	200.0	1983334.0	0.0
ERR212517	4.09896475752	51.0	200.0	1270145.0	0.0
ERR212518	2.35020879065	50.0	200.0	1633120.0	9.09090909091
ERR212521	4.78928380831	51.0	200.0	1422517.0	9.09090909091
ERR212522	4.07257097536	51.0	200.0	1234672.0	0.0
ERR212523	6.23377554568	51.0	200.0	2118685.0	0.0
ERR212529	4.62620949008	51.0	200.0	1464559.0	0.0
ERR212530	4.95677510279	51.0	200.0	1530352.0	0.0
ERR212558	6.23648835114	51.0	200.0	1912246.0	0.0
ERR212563	3.2926280518	51.0	200.0	948321.0	0.0
ERR212565	3.11077048593	51.0	200.0	914412.0	0.0
ERR212566	3.26887289952	51.0	200.0	895917.0	9.09090909091
ERR212571	4.07600406691	51.0	200.0	1334141.0	9.09090909091
ERR212593	6.21249994944	51.0	200.0	2035190.0	9.09090909091
ERR212595	3.99255701904	51.0	200.0	1193761.0	9.09090909091
ERR212605	4.77393435339	52.0	200.0	1623097.0	9.09090909091
ERR212606	4.98054367269	51.0	200.0	1476562.0	0.0
ERR212608	6.60892249862	50.0	200.0	2210885.0	9.09090909091
ERR212610	6.0209826806	48.0	200.0	2118394.0	18.1818181818
ERR212611	7.11063123824	50.0	200.0	2609947.0	0.0
ERR212612	7.99019496162	50.0	200.0	2908070.0	9.09090909091
ERR212613	7.16217112945	50.0	200.0	2486566.0	9.09090909091
ERR212615	7.05724170812	51.0	200.0	2394906.0	9.09090909091
ERR212616	7.55011809668	50.0	200.0	2811754.0	9.09090909091
ERR212617	5.95868401782	50.0	200.0	1951653.0	9.09090909091
ERR212618	6.72714673567	50.0	200.0	2422312.0	9.09090909091
ERR212623	6.50377748582	48.0	200.0	2675657.0	18.1818181818
ERR212627	8.27829900624	50.0	200.0	3198363.0	9.09090909091
ERR212631	7.01586941262	50.0	200.0	2288447.0	9.09090909091
ERR212641	7.43091105962	50.0	200.0	2676265.0	9.09090909091
ERR212663	4.53761860687	50.0	200.0	1233792.0	9.09090909091
ERR212668	4.71063365051	50.0	200.0	1255683.0	9.09090909091
ERR212675	7.1604418103	50.0	200.0	2632569.0	9.09090909091
ERR235134	11.8435395742	51.0	200.0	3238456.0	9.09090909091
ERR235136	5.68127279867	51.0	200.0	1783913.0	9.09090909091
ERR235143	1.81772499604	49.0	200.0	2163762.0	0.0
ERR235144	5.69983233617	51.0	200.0	1817641.0	9.09090909091
ERR235153	9.05419144171	51.0	200.0	3352538.0	9.09090909091
ERR235164	3.82149845441	51.0	200.0	1101418.0	0.0
ERR235185	3.49201911927	51.0	200.0	948282.0	9.09090909091
ERR235197	5.81686125263	51.0	200.0	1696955.0	0.0
ERR235198	6.60917858157	51.0	200.0	2178458.0	0.0
ERR235199	6.59867449766	51.0	200.0	2123735.0	0.0
ERR235200	5.53059045506	51.0	200.0	1905210.0	0.0
ERR235201	7.15791482922	51.0	200.0	2312008.0	9.09090909091
ERR235202	8.39252569667	51.0	200.0	2786108.0	9.09090909091
ERR235203	7.11941442299	51.0	200.0	2615865.0	9.09090909091
ERR235204	7.11944662061	51.0	200.0	2637123.0	9.09090909091
ERR235205	1.38490113475	51.0	200.0	234537.0	9.09090909091
ERR235208	6.71620147796	51.0	200.0	1793772.0	0.0
ERR235210	6.13172936143	51.0	200.0	2010399.0	9.09090909091
ERR235211	6.36402582397	51.0	200.0	2279532.0	9.09090909091
ERR235212	8.58508540953	51.0	200.0	3430261.0	9.09090909091
ERR235213	6.04669128626	51.0	200.0	1987127.0	0.0
ERR235216	5.86419916108	51.0	200.0	1953753.0	0.0
ERR235217	7.01262574248	51.0	200.0	2342510.0	0.0
ERR235218	8.19414045734	51.0	200.0	2713779.0	0.0
ERR235219	7.63815425198	51.0	200.0	2761893.0	0.0
ERR235221	6.19919205289	51.0	200.0	2010721.0	9.09090909091
