Sample	overall_alignment_rate	unpaired_total	unpaired_aligned_one	unpaired_aligned_none	unpaired_aligned_multi	total_reads
4-74-ESP-5-RC_S1_R1_001	99.4	13401762	2181926	79762	11140074	13401762
4-74-ESP-6-RC_S2_R1_001	99.49	12415239	3127796	63226	9224217	12415239
4-74-ESP-7-RC_S3_R1_001	99.14	10734026	2434453	92278	8207295	10734026
4-74-InSPI2-3-RC_S16_R1_001	99.45	13172307	3027369	72121	10072817	13172307
4-74-InSPI2-4-RC_S17_R1_001	99.59	14436445	3513871	58609	10863965	14436445
4-74-InSPI2-5-RC_S18_R1_001	99.37	12296250	2996261	77179	9222810	12296250
4-74-MAC-3-WY_S20_R1_001	76.91	8746657	1549615	2019905	5177137	8746657
4-74-NoO2-2-RC_S4_R1_001	99.04	8802532	1918105	84509	6799918	8802532
4-74-NoO2-3-RC_S5_R1_001	99.23	12729559	1976598	98088	10654873	12729559
4-74-NoO2-4-RC_S6_R1_001	99.74	12172273	2965475	32132	9174666	12172273
4-74-NonSPI2-2-RC_S7_R1_001	99.32	12953788	4455963	87560	8410265	12953788
4-74-NonSPI2-3-RC_S8_R1_001	99.56	13050830	5169758	56959	7824113	13050830
4-74-NonSPI2-4-RC_S9_R1_001	99.41	11010712	4945106	64456	6001150	11010712
