Sample	FastQC_percent_gc	FastQC_total_sequences	Bowtie 2_overall_alignment_rate	FastQC_percent_duplicates	FastQC_avg_sequence_length	FastQC_percent_fails
4-74-ESP-5-RC_S1_R1_001	51.0	14588458.0	99.4	86.6465414461	75.0	41.6666666667
4-74-ESP-6-RC_S2_R1_001	51.0	13437319.0	99.49	83.6256041954	75.0	41.6666666667
4-74-ESP-7-RC_S3_R1_001	51.0	11721299.0	99.14	83.0800398022	75.0	41.6666666667
4-74-InSPI2-3-RC_S16_R1_001	50.0	14333158.0	99.45	83.0019070344	75.0	41.6666666667
4-74-InSPI2-4-RC_S17_R1_001	50.0	15502120.0	99.59	84.418650374	75.0	41.6666666667
4-74-InSPI2-5-RC_S18_R1_001	50.0	13405916.0	99.37	83.0762513062	75.0	41.6666666667
4-74-MAC-3-WY_S20_R1_001	51.0	9619608.0	76.91	81.5565450707	75.0	41.6666666667
4-74-NoO2-2-RC_S4_R1_001	51.0	9543202.0	99.04	82.3826231276	75.0	41.6666666667
4-74-NoO2-3-RC_S5_R1_001	50.0	14050623.0	99.23	85.6501843003	75.0	41.6666666667
4-74-NoO2-4-RC_S6_R1_001	51.0	13143718.0	99.74	83.3557497134	75.0	41.6666666667
4-74-NonSPI2-2-RC_S7_R1_001	50.0	14052372.0	99.32	79.7425590309	75.0	41.6666666667
4-74-NonSPI2-3-RC_S8_R1_001	50.0	14017757.0	99.56	78.6630203486	75.0	41.6666666667
4-74-NonSPI2-4-RC_S9_R1_001	51.0	11960456.0	99.41	77.1239385947	75.0	41.6666666667
